date,condition,city
2024-05-02 09:27:21 UTC,Clear,Suwon-si
2024-05-02 09:50:04 UTC,Clear,Suwon-si
2024-05-02 09:17:03 UTC,Clear,Suwon-si
2024-05-02 09:40:04 UTC,Clear,Suwon-si
2024-05-03 06:57:51 UTC,Clear,Suwon-si
2024-05-03 07:20:04 UTC,Clear,Suwon-si
2024-05-03 07:49:07 UTC,Clear,Suwon-si
2024-05-03 07:26:29 UTC,Clear,Suwon-si
2024-05-03 06:57:51 UTC,Clear,Suwon-si
2024-05-03 07:37:53 UTC,Clear,Suwon-si
2024-05-03 08:38:06 UTC,Clear,Suwon-si
2024-05-03 08:05:35 UTC,Clear,Suwon-si
2024-05-03 07:49:07 UTC,Clear,Suwon-si
2024-05-03 08:16:47 UTC,Clear,Suwon-si
2024-05-03 08:16:47 UTC,Clear,Suwon-si
2024-05-03 09:00:00 UTC,Clear,Suwon-si
2024-05-03 09:05:45 UTC,Clear,Suwon-si
2024-05-03 08:38:06 UTC,Clear,Suwon-si
2024-05-03 09:16:43 UTC,Clear,Suwon-si
2024-05-03 09:16:43 UTC,Clear,Suwon-si
2024-05-03 09:36:54 UTC,Clear,Suwon-si
2024-05-03 09:36:54 UTC,Clear,Suwon-si
2024-05-08 08:50:04 UTC,Clear,Suwon-si
2024-05-08 08:20:05 UTC,Clear,Suwon-si
2024-05-08 08:37:10 UTC,Clear,Suwon-si
2024-05-08 06:58:41 UTC,Clear,Suwon-si
2024-05-08 06:58:41 UTC,Clear,Suwon-si
2024-05-08 07:26:47 UTC,Clear,Suwon-si
2024-05-08 07:15:31 UTC,Clear,Suwon-si
2024-05-08 07:37:05 UTC,Clear,Suwon-si
2024-05-08 08:05:07 UTC,Clear,Suwon-si
2024-05-08 07:47:59 UTC,Clear,Suwon-si
2024-05-08 08:00:04 UTC,Clear,Suwon-si
2024-05-08 08:20:05 UTC,Clear,Suwon-si
2024-05-08 09:35:57 UTC,Clear,Suwon-si
2024-05-08 09:35:57 UTC,Clear,Suwon-si
2024-05-01 07:26:40 UTC,Clouds,Suwon-si
2024-05-01 07:26:40 UTC,Clouds,Suwon-si
2024-05-01 08:00:04 UTC,Clouds,Suwon-si
2024-05-01 07:49:31 UTC,Clouds,Suwon-si
2024-05-01 07:10:03 UTC,Clouds,Suwon-si
2024-04-29 09:09:18 UTC,Clouds,Suwon-si
2024-04-29 09:46:37 UTC,Clouds,Suwon-si
2024-04-30 06:58:04 UTC,Clouds,Suwon-si
2024-04-30 07:17:08 UTC,Clouds,Suwon-si
2024-04-30 06:58:04 UTC,Clouds,Suwon-si
2024-04-30 07:25:42 UTC,Clouds,Suwon-si
2024-04-30 09:08:20 UTC,Clouds,Suwon-si
2024-04-30 08:40:04 UTC,Clouds,Suwon-si
2024-04-30 08:40:04 UTC,Clouds,Suwon-si
2024-04-30 08:15:29 UTC,Clouds,Suwon-si
2024-04-30 09:18:59 UTC,Clouds,Suwon-si
2024-04-30 08:10:04 UTC,Clouds,Suwon-si
2024-04-30 08:15:29 UTC,Clouds,Suwon-si
2024-04-30 08:00:04 UTC,Clouds,Suwon-si
2024-04-30 07:47:25 UTC,Clouds,Suwon-si
2024-04-30 07:25:42 UTC,Clouds,Suwon-si
2024-05-01 06:55:18 UTC,Clouds,Suwon-si
2024-04-30 09:39:12 UTC,Clouds,Suwon-si
2024-04-30 09:49:54 UTC,Clouds,Suwon-si
2024-05-01 07:10:03 UTC,Clouds,Suwon-si
2024-04-30 09:18:59 UTC,Clouds,Suwon-si
2024-05-01 08:50:04 UTC,Clouds,Suwon-si
2024-05-01 08:05:12 UTC,Clouds,Suwon-si
2024-05-01 08:05:12 UTC,Clouds,Suwon-si
2024-05-01 08:28:26 UTC,Clouds,Suwon-si
2024-05-01 08:28:26 UTC,Clouds,Suwon-si
2024-05-01 09:45:15 UTC,Clouds,Suwon-si
2024-05-01 09:25:32 UTC,Clouds,Suwon-si
2024-05-01 08:55:30 UTC,Clouds,Suwon-si
2024-05-01 08:55:30 UTC,Clouds,Suwon-si
2024-05-01 09:39:22 UTC,Clouds,Suwon-si
2024-05-01 09:20:03 UTC,Clouds,Suwon-si
2024-05-06 07:19:21 UTC,Clouds,Suwon-si
2024-05-06 06:55:41 UTC,Clouds,Suwon-si
2024-05-06 06:55:41 UTC,Clouds,Suwon-si
2024-05-06 08:46:55 UTC,Clouds,Suwon-si
2024-05-06 08:58:43 UTC,Clouds,Suwon-si
2024-05-06 09:26:12 UTC,Clouds,Suwon-si
2024-05-08 09:18:17 UTC,Clouds,Suwon-si
2024-05-08 09:26:28 UTC,Clouds,Suwon-si
2024-05-06 09:15:27 UTC,Drizzle,Suwon-si
2024-05-06 09:09:59 UTC,Drizzle,Suwon-si
2024-05-07 06:57:39 UTC,Drizzle,Suwon-si
2024-05-07 08:45:06 UTC,Thunderstorm,Suwon-si
2024-05-08 08:55:13 UTC,Thunderstorm,Suwon-si
2024-05-08 08:55:13 UTC,Thunderstorm,Suwon-si
